URL,Header,Value
https://www.nytimes.com,Connection,close
https://www.nytimes.com,Content-Length,220517
https://www.nytimes.com,x-b3-traceid,495cbae6b732e4dc
https://www.nytimes.com,x-nyt-data-last-modified,"Mon, 01 Sep 2025 11:02:28 GMT"
https://www.nytimes.com,last-modified,"Mon, 01 Sep 2025 11:02:28 GMT"
https://www.nytimes.com,build-timestamp,1756484634000
https://www.nytimes.com,x-pagetype,vi-homepage
https://www.nytimes.com,x-xss-protection,1; mode=block
https://www.nytimes.com,x-content-type-options,nosniff
https://www.nytimes.com,content-type,text/html; charset=utf-8
https://www.nytimes.com,x-envoy-upstream-service-time,284
https://www.nytimes.com,server,envoy
https://www.nytimes.com,x-envoy-decorator-operation,vi.nyt.net:443/*
https://www.nytimes.com,content-encoding,gzip
https://www.nytimes.com,cache-control,"s-maxage=30,no-cache"
https://www.nytimes.com,x-nyt-route,homepage
https://www.nytimes.com,X-Origin-Time,2025-09-01 11:02:33 UTC
https://www.nytimes.com,Accept-Ranges,bytes
https://www.nytimes.com,Date,"Mon, 01 Sep 2025 11:02:47 GMT"
https://www.nytimes.com,Age,14
https://www.nytimes.com,X-Served-By,"cache-lga21990-LGA, cache-lcy-egml8630043-LCY"
https://www.nytimes.com,X-Cache,"HIT, HIT"
https://www.nytimes.com,X-Cache-Hits,"1, 1"
https://www.nytimes.com,X-Timer,"S1756724567.313904,VS0,VE3"
https://www.nytimes.com,Vary,"Accept-Encoding, Fastly-SSL"
